geonameid,name,latitude,longitude,admin1_code,admin2_code,population,timezone,city_id,pop_category
5600890,Middleton,43.70683,-116.62014,ID,027,6828,America/Boise,5600890,medium
5601538,Moscow,46.73239,-117.00017,ID,057,25060,America/Los_Angeles,5601538,large
5601615,Mountain Home,43.13295,-115.6912,ID,039,13730,America/Boise,5601615,medium
5601933,Nampa,43.54072,-116.56346,ID,027,89839,America/Boise,5601933,large
5603393,Payette,44.07822,-116.93377,ID,075,7380,America/Boise,5603393,medium
5604045,Pocatello,42.8713,-112.44553,ID,005,54441,America/Boise,5604045,large
5604353,Post Falls,47.71796,-116.95159,ID,055,30453,America/Los_Angeles,5604353,large
5604473,Preston,42.09631,-111.87662,ID,041,5212,America/Boise,5604473,medium
5605242,Rexburg,43.82602,-111.78969,ID,065,27663,America/Boise,5605242,large
5606000,Rupert,42.61908,-113.67723,ID,067,5705,America/Boise,5606000,medium
5606401,Sandpoint,48.27659,-116.55325,ID,017,7835,America/Los_Angeles,5606401,medium
5608754,Star,43.69211,-116.49346,ID,001,7797,America/Boise,5608754,medium
5610810,Twin Falls,42.56297,-114.46087,ID,083,47468,America/Boise,5610810,large
5611730,Weiser,44.251,-116.96933,ID,087,5317,America/Boise,5611730,medium
5637146,Anaconda,46.12854,-112.94226,MT,023,9417,America/Denver,5637146,medium
5639364,Belgrade,45.77604,-111.1769,MT,031,8029,America/Denver,5639364,medium
5640350,Billings,45.78329,-108.50069,MT,111,117116,America/Denver,5640350,major
5641727,Bozeman,45.67965,-111.03856,MT,031,43405,America/Denver,5641727,large
5642934,Butte,46.00382,-112.53474,MT,093,34190,America/Denver,5642934,large
5645859,Columbia Falls,48.37246,-114.18152,MT,029,5093,America/Denver,5645859,medium
5651289,Evergreen,48.22579,-114.27624,MT,029,7616,America/Denver,5651289,medium
5654391,Glendive,47.10529,-104.71246,MT,021,5490,America/Denver,5654391,medium
5655240,Great Falls,47.50024,-111.30081,MT,013,59638,America/Denver,5655240,large
5656497,Havre,48.55,-109.68409,MT,041,9834,America/Denver,5656497,medium
5656882,Helena,46.59271,-112.03611,MT,049,32091,America/Denver,5656882,large
5660340,Kalispell,48.19579,-114.31291,MT,029,22052,America/Denver,5660340,medium
5661766,Laurel,45.66912,-108.77153,MT,111,6943,America/Denver,5661766,medium
5662162,Lewistown,47.06247,-109.42824,MT,027,5874,America/Denver,5662162,medium
5663049,Livingston,45.66244,-110.56104,MT,067,7302,America/Denver,5663049,medium
5663135,Lockwood,45.81912,-108.41486,MT,111,6797,America/Denver,5663135,medium
5666176,Miles City,46.40834,-105.84056,MT,017,8796,America/Denver,5666176,medium
5666639,Missoula,46.87215,-113.994,MT,063,71022,America/Denver,5666639,large
5670128,Orchard Homes,46.86326,-114.04844,MT,063,5197,America/Denver,5670128,medium
5677735,Sidney,47.71668,-104.15633,MT,083,6828,America/Denver,5677735,medium
5686121,Whitefish,48.41108,-114.33763,MT,029,7073,America/Denver,5686121,medium
5688025,Bismarck,46.80833,-100.78374,ND,015,75092,America/Chicago,5688025,large
5688789,Dickinson,46.87918,-102.78962,ND,089,23765,America/Denver,5688789,medium
5690366,Mandan,46.82666,-100.88958,ND,059,21382,America/North_Dakota/New_Salem,5690366,medium
5690532,Minot,48.23251,-101.29627,ND,101,49450,America/Chicago,5690532,large
5692814,Watford City,47.80224,-103.28325,ND,053,6708,America/Chicago,5692814,medium
5692947,Williston,48.14697,-103.61797,ND,105,26977,America/Chicago,5692947,large
5693164,Alliance,42.10163,-102.87215,NE,013,8522,America/Denver,5693164,medium
5694163,Chadron,42.82942,-102.99991,NE,045,5775,America/Denver,5694163,medium
5695604,Gering,41.8258,-103.6605,NE,157,8334,America/Denver,5695604,medium
